"지구별","주차장별","위치정보(위도)","위치정보(경도)","주소","면수","장애면수","정기면수","주중 이용시간 시작","주중 이용시간 종료","주말 이용시간 시작","주말 이용시간 종료","면제시간","기본시간","기본요금","간격시간","간격요금","전일요금","주간요금","야간요금","정기금금액","주차장 운영업체","업체 전화번호","운영 시작기간","운영 종료기간"
"반포","반포2,3주차장","37.5100713","126.9958898","서울서초구반포동115-5(반포동,한강공원 반포 안내센터)","361","0","0","06:00","21:00","06:00","21:00","0","0","0","10","200","10000","0","0","50000","아마노코리아(주)_잠원_반포_이촌","02-3478-1533","2023-02-01 00:00:00.0","2025-01-31 00:00:00.0"
"양화","양화1주차장","37.5373673","126.903686","서울영등포구당산동95-1(당산동,양화진달래점)","88","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","공우이엔씨(주)_양화_강서","02-2068-9617","2023-12-01 00:00:00.0","2025-11-30 00:00:00.0"
"양화","양화2주차장","37.5398791","126.9004288","서울영등포구당산동95-1(당산동,양화진달래점)","20","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","공우이엔씨(주)_양화_강서","02-2068-9617","2023-12-01 00:00:00.0","2025-11-30 00:00:00.0"
"양화","양화3주차장","37.5448802","126.8922348","서울영등포구양화동26-8(양화동,양화개나리점)","393","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","공우이엔씨(주)_양화_강서","02-2068-9617","2023-12-01 00:00:00.0","2025-11-30 00:00:00.0"
"여의도","여의도1주차장","37.522752","126.9395997","서울영등포구여의도동86-5(여의도동,진성나루)","462","0","0","06:00","21:00","06:00","21:00","10","30","2000","10","300","15000","0","0","100000","아마노코리아(주)_여의도","02-747-5645","2021-11-01 00:00:00.0","2023-10-31 00:00:00.0"
"여의도","여의도2주차장","37.5290743","126.9309679","서울영등포구여의도동84-4(여의도동,여의나루역)","171","0","0","06:00","21:00","06:00","21:00","10","30","2000","10","300","15000","0","0","100000","아마노코리아(주)_여의도","02-747-5645","2021-11-01 00:00:00.0","2023-10-31 00:00:00.0"
"여의도","여의도3주차장","37.532383","126.9236764","서울영등포구여의도동83-6(여의도동)","800","0","0","06:00","21:00","06:00","21:00","10","30","2000","10","300","15000","0","0","100000","공우이엔씨(주)_여의도_3","02-782-8634","2023-11-01 00:00:00.0","2025-10-31 00:00:00.0"
"여의도","여의도4주차장","37.526247","126.9131567","서울영등포구여의도동19","141","0","0","06:00","21:00","06:00","21:00","10","30","2000","10","300","15000","0","0","100000","아마노코리아(주)_여의도","02-747-5645","2021-11-01 00:00:00.0","2023-10-31 00:00:00.0"
"여의도","여의도5주차장","37.5169565","126.9349005","서울영등포구여의도동63(여의도동,여의도성모병원)","217","0","0","06:00","21:00","06:00","21:00","10","30","2000","10","300","15000","0","0","100000","아마노코리아(주)_여의도","02-747-5645","2021-11-01 00:00:00.0","2023-10-31 00:00:00.0"
"이촌","이촌1주차장","37.5180507","126.992249","서울서초구서빙고동287-4","35","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","아마노코리아(주)_잠원_반포_이촌","02-3478-1533","2023-02-01 00:00:00.0","2025-01-31 00:00:00.0"
"이촌","이촌2주차장","37.5157374","126.982601","서울용산구용산동 6가452-1","95","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","아마노코리아(주)_잠원_반포_이촌","02-3478-1533","2023-02-01 00:00:00.0","2025-01-31 00:00:00.0"
"이촌","이촌3주차장","37.5175315","126.9704918","서울용산구이촌동302-17(이촌동,한강공원 이촌안내센터)","160","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","아마노코리아(주)_잠원_반포_이촌","02-3478-1533","2023-02-01 00:00:00.0","2025-01-31 00:00:00.0"
"이촌","이촌4주차장","37.521365378475","126.960795131362","서울용산구양녕로376(이촌동,전망카페밑)","86","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","아마노코리아(주)_잠원_반포_이촌","02-3478-1533","2023-02-01 00:00:00.0","2025-01-31 00:00:00.0"
"잠실","잠실1주차장","37.5199405","127.0939989","서울송파구잠실동1-1(잠실동,한강사업본부 잠실안내센터)","471","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","공우이엔씨(주)_잠실_광나루","02-3431-3774","2023-12-01 00:00:00.0","2025-11-30 00:00:00.0"
"잠실","잠실4주차장","37.5176276345914","127.08673648927","서울송파구한가람로65(잠실동,한강사업본부 잠실안내센터)","471","0","0","06:00","21:00","06:00","21:00","10","30","1000","10","200","10000","0","0","50000","공우이엔씨(주)_잠실_광나루","02-3431-3774","2023-12-01 00:00:00.0","2025-11-30 00:00:00.0"
"잠원","잠원1주차장","37.5244402561831","127.015932849772","서울강남구강남대로708(압구정동,한남대교레인보우카폐)","735","0","0","06:00","21:00","06:00","21:00","0","0","0","10","200","10000","0","0","50000","아마노코리아(주)_잠원_반포_이촌","02-3478-1533","2023-02-01 00:00:00.0","2025-01-31 00:00:00.0"
"잠원","잠원2-6주차장","37.5287415","127.0204708","서울강남구압구정동386(압구정동,한남대교레인보우카폐)","735","0","0","06:00","21:00","06:00","21:00","0","0","0","10","200","10000","0","0","50000","아마노코리아(주)_잠원_반포_이촌","02-3478-1533","2023-02-01 00:00:00.0","2025-01-31 00:00:00.0"
